A8,,A6,,A4,,A3,,A2,
X,Y,X,Y,X,Y,X,Y,X,Y
1020.62219,1150.388024,1020.62219,612.0402259,1020.62219,421.1048354,1020.62219,183.1106213,1037.988244,145.3092712
1068.378839,1124.02994,1068.378839,598.0254397,1068.378839,411.7187859,1068.378839,179.5104927,1085.744894,139.3947743
1116.135489,1099.600496,1116.135489,584.1392295,1116.135489,401.9470083,1116.135489,176.4246682,1133.501543,134.2517335
1163.892139,1076.19966,1163.892139,570.8958993,1163.892139,393.589567,1163.892139,171.2816274,1181.258193,129.7515728
1211.648788,1055.113193,1211.648788,558.9383294,1211.648788,384.9749736,1211.648788,168.3243789,1229.014843,124.0942279
1259.405438,1034.283877,1259.405438,548.0093677,1259.405438,376.7461083,1259.405438,165.7528585,1276.771493,121.0084034
1307.162088,1015.12605,1307.162088,537.466134,1307.162088,370.3173073,1307.162088,162.409882,1324.528142,117.1511227
1354.918738,997.1254075,1354.918738,527.3086284,1354.918738,362.731322,1354.918738,159.0669055,1372.284792,113.1652661
1402.675387,979.1247647,1402.675387,517.5368508,1402.675387,356.302521,1402.675387,156.495385,1420.041442,109.9508656
1450.432037,962.79561,1450.432037,507.6364972,1450.432037,349.745144,1450.432037,154.5667447,1467.798091,106.9936171
1498.188687,947.2379116,1498.188687,499.6647839,1498.188687,344.2163751,1498.188687,152.5095284,1515.554741,104.1649447
1545.945336,933.0945493,1545.945336,491.4359186,1545.945336,338.3018781,1545.945336,148.0093677,1563.311391,100.050512
1593.701986,918.3083069,1593.701986,483.8499334,1593.701986,333.1588373,1593.701986,146.7236075,1611.068041,97.99329568
1641.458636,904.9364008,1641.458636,475.6210681,1641.458636,327.6300684,1641.458636,145.1806952,1658.82469,96.57895945
1689.215286,892.2073748,1689.215286,469.1922671,1689.215286,323.6442118,1689.215286,143.2520549,1706.58134,92.85025486
1736.971935,879.4783487,1736.971935,462.249162,1736.971935,317.4725628,1736.971935,142.3520228,1754.33799,90.66446251
1784.728585,867.6493548,1784.728585,455.4346329,1784.728585,313.7438582,1784.728585,138.1090141,1802.094639,88.60724618
1832.485235,856.206089,1832.485235,449.3915599,1832.485235,309.6294255,1832.485235,136.6946779,1849.851289,86.67860587
1880.241884,845.1485512,1880.241884,442.4484548,1880.241884,304.7435368,1880.241884,134.8946136,1897.607939,85.77857372
1927.998534,834.7338936,1927.998534,437.8197181,1927.998534,301.7862883,1927.998534,133.8660054,1945.364588,82.56417321
1975.755184,824.1906599,1975.755184,431.390917,1975.755184,297.0289755,1975.755184,132.7088212,1993.121238,81.53556505
2023.511833,814.2903063,2023.511833,426.7621803,2023.511833,293.1716949,2023.511833,131.037333,2040.877888,79.09262065
2071.268483,805.0328328,2071.268483,421.2334114,2071.268483,290.4715985,2071.268483,131.037333,2088.634538,77.29255637
2119.025133,795.6467833,2119.025133,416.0903706,2119.025133,286.2285898,2119.025133,126.1514442,2136.391187,76.77825228
2166.781783,787.1607659,2166.781783,411.0759058,2166.781783,282.6284612,2166.781783,125.3799881,2184.147837,74.46388391
2214.538432,778.2890205,2214.538432,406.318593,2214.538432,280.3140929,2214.538432,125.251412,2231.904487,74.46388391
2262.295082,769.031547,2262.295082,402.8470405,2262.295082,277.9997245,2262.295082,122.5513156,2279.661136,72.27809156
2310.051732,761.5741379,2310.051732,396.8039675,2310.051732,272.5995316,2310.051732,122.5513156,2327.417786,70.22087524
2357.808381,753.9881526,2357.808381,393.589567,2357.808381,270.2851632,2357.808381,122.2941636,2375.174436,70.22087524
2405.565031,745.8878633,2405.565031,389.3465583,2405.565031,268.3565229,2405.565031,119.7226432,2422.931086,68.42081095
2453.321681,738.5590302,2453.321681,384.7178216,2453.321681,266.6850347,2453.321681,119.7226432,2470.687735,65.97786656
2501.07833,732.1302291,2501.07833,381.6319971,2501.07833,261.2848418,2501.07833,119.7226432,2518.444385,65.97786656
2548.83498,724.4156679,2548.83498,377.5175644,2548.83498,259.2276255,2548.83498,115.8653625,2566.201035,65.72071452
2596.59163,717.8582909,2596.59163,373.2745557,2596.59163,257.9418653,2596.59163,115.4796345,2613.957684,63.1491941
2644.34828,711.5580658,2644.34828,370.5744593,2644.34828,255.4989209,2644.34828,115.4796345,2661.714334,63.1491941
2692.104929,705.1292648,2692.104929,367.3600588,2692.104929,252.1559443,2692.104929,114.7081784,2709.470984,63.1491941
2739.861579,698.9576158,2739.861579,362.731322,2739.861579,249.841576,2739.861579,111.2366258,2757.227633,61.73485788
2787.618229,692.6573908,2787.618229,360.0312256,2787.618229,247.1414795,2787.618229,111.2366258,2804.984283,58.90618542
2835.374878,687.257198,2835.374878,357.4597052,2835.374878,246.2414474,2835.374878,111.2366258,2852.740933,58.90618542
2883.131528,680.956973,2883.131528,352.9595445,2883.131528,244.1842311,2883.131528,110.7223217,2900.497583,58.90618542
2930.888178,675.6853561,2930.888178,350.3880241,2930.888178,241.3555586,2930.888178,108.4079533,2948.254232,58.90618542
2978.644828,669.7708592,2978.644828,348.2022317,2978.644828,238.5268862,2978.644828,108.4079533,2996.010882,54.79175277
3026.401477,664.7563944,3026.401477,345.8878633,3026.401477,236.8553979,3026.401477,108.4079533,3043.767532,54.66317675
3074.158127,659.4847775,3074.158127,340.7448225,3074.158127,235.6982137,3074.158127,108.4079533,3091.524181,54.66317675
3121.914777,654.2131607,3121.914777,338.8161822,3121.914777,233.7695734,3121.914777,105.3221289,3139.280831,54.66317675
3169.671426,649.4558479,3169.671426,336.8875419,3169.671426,232.8695413,3169.671426,104.1649447,3187.037481,54.53460073
3217.428076,644.1842311,3217.428076,334.7017496,3217.428076,229.2694127,3217.428076,104.1649447,3234.79413,51.96308031
